책제목,글쓴이,출판사,출판년,대여료
(굶지 않고 3개월에 16kg 빼는)하루 걸러 다이어트,제임스 B. 존슨 ; 도널드 R. 로브 시니어 지음 ; 박선령 옮김,더블book,2010,9755
하프타임 쇼크,밥 버포드 지음 ; 이창신 옮김,국제제자훈련원,2010,6400
할아버지의 붉은 뺨,"야니쉬, 하인츠",웅진주니어,2006,8387
빨래판도 잘 보면 팔만대장경이다 : 아는 것 같은데 잘 모르고 있는 역사 용어 상식 톺아보기,전병철 지음,살림터,2012,1654
"(고도원의)아침편지. 두번째, 작은 씨앗 하나가 모든 것의 시작이다",고도원 지음,청아출판사,2005,7097
클래식이 필요한 순간들,홍승찬 지음,책읽는수요일,2012,1243
내 잠속에 비내리는데,이외수 [저],해냄,2006,2558
한국의 세계유산 : 1995-2010,문화재청 엮음,눌와,2010,6279
파스칼의 실수,플로랑스 세이보스 글 ; 미셸 게 그림 ; 최윤정 옮김,비룡소,2003,4046
상처 이야기,니시오 이신 저 ; Vofan 일러스트 ; 현정수 옮김,학산문화사,2011,7180
미국의 굴욕 : 우리가 꼭 알아야 할 미국의 5가지 불편한 진실,크리스 헤지스 지음 ; 김한영 옮김,아름드리미디어,2011,2262
종교란 무엇인가 : 신의 실체에서 종교 전쟁까지,오강남 지음,김영사,2012,1058
인의로 천하를 얻다 : 정사로 읽는 인물 삼국지,진수 지음 ; 진화승 편저 ; 이미영 옮김,팩컴북스,2011,6887
Arthur and the big blow-up,"Brown, Marc",Little Brown and company,2009,5813
(자연속으로 떠나는)현장학습 여행,김재일 글 ; 오세호 그림,랜덤하우스중앙,2004,1148
(조선/한국의)내셔널리즘과 소국의식,기무라 간 지음 ; 김세덕 옮김,산처럼,2007,9962
고전의 샘에 마음을 적시다,이정자 지음,국학자료원,2009,7534
산중암자에서 듣다 : 전국 25개 암자에서 듣는 깨달음의 이야기,박원식 글 ; 주민욱 사진,북하우스 퍼블리셔스,2011,7878
아이가 잘 먹는 채소반찬  : 고기보다 맛있다!,채남수 지음,미디어윌,2012,3331
주말여행 컨설팅북,이민학  ; 유은영 [공]지음,랜덤하우스코리아,2012,1546
부활 : 논술대비 세계명작,"톨스토이 지음, 소중애 엮음",지경사,2006,7749
수업을 왜 하지?,서근원 지음,우리교육,2003,2769
행복한 가족요가,김상운 ; 신성구 ; 최윤석 [공]지음,동도원,2005,3735
사랑해요 아빠,이은하 글 ; 유명희 그림,삼성당,2011,8443
구원이란 무엇인가,김세윤,두란노,2001,8037
참여정부 인사개혁의 현황과 과제,김중양 편,나남출판,2005,8169
농구용어사전,"김영수, 이우재, 손대범",KBL,2008,9603
하버드 스타일,강인선 지음,웅진지식하우스,2007,6281
(청소년을 위한)만만한 경제학 : EBS 공부의 왕도 김민준의 재미있는 경제이야기,김민준 지음,지공신공,2011,8016
(PR Korea)우리 문화 중국어로 자랑해봐,범노신 ; 박계연 [공]지음,윈타임즈,2008,5863
성경읽고 위대한 영웅이 되라,전광 지음,두란노,2004,6048
스승님이라 부르리까,이필영 지음,동심원,2009,1895
